scenario_id,p,kappa,replicate,estimator_variant,q_used,backbone_hat,r_f,mae_b,p_hat,kappa_hat,d_hat,fallback_weight
p08_k01,0.85,1.0,0,fixed_q_0.2,0.2,9.963153766054965,1.2173433690633257,0.03684623394503461,,,,
p08_k01,0.85,1.0,0,fixed_q_0.3,0.3,10.373776721067287,0.8648906162962153,0.3737767210672871,,,,
p08_k01,0.85,1.0,0,oracle_aqf,0.20985696584173852,10.001237037846929,1.1826988767628723,0.0012370378469288568,,,,
p08_k01,0.85,1.0,0,estimated_aqf,0.24189953517175547,10.143638340672403,1.0563140188459887,0.14363834067240333,0.5056398753453649,1.7003823073809217,1.202351860158678,0.601175930079339
p08_k01,0.85,1.0,1,fixed_q_0.1,0.1,9.658178899343262,1.5058047624684734,0.34182110065673754,,,,
p08_k01,0.85,1.0,1,fixed_q_0.2,0.2,9.959113368418825,1.200728609345786,0.04088663158117534,,,,
p08_k01,0.85,1.0,1,fixed_q_0.3,0.3,10.316208523100281,0.880078509325751,0.3162085231002809,,,,
p08_k01,0.85,1.0,1,oracle_aqf,0.20985696584173852,9.991223100151474,1.1703900182917204,0.008776899848525588,,,,
p08_k01,0.85,1.0,1,estimated_aqf,0.2544676587209282,10.166587141081324,1.0097597516957986,0.16658714108132422,0.4541714409760907,1.4437454491581811,1.0208821974069677,0.5104410987034839
p08_k01,0.85,1.0,2,fixed_q_0.1,0.1,9.437615680608362,1.6997374997680814,0.5623843193916382,,,,
p08_k01,0.85,1.0,2,fixed_q_0.2,0.2,10.006394144425503,1.1381001838904545,0.006394144425502901,,,,
p08_k01,0.85,1.0,2,fixed_q_0.3,0.3,10.312169836147424,0.8712725166058216,0.3121698361474241,,,,
p08_k01,0.85,1.0,2,oracle_aqf,0.20985696584173852,10.035059467710596,1.111590574863357,0.03505946771059598,,,,
p08_k01,0.85,1.0,2,estimated_aqf,0.2000809964979779,10.007065577875691,1.1374757935482411,0.007065577875691176,0.6654717548259494,1.6506939826169325,1.167216908772262,0.583608454386131
p08_k01,0.85,1.0,3,fixed_q_0.1,0.1,9.306536068313646,1.7301703616824617,0.6934639316863542,,,,
p08_k01,0.85,1.0,3,fixed_q_0.2,0.2,9.777203565526067,1.2507795082363975,0.22279643447393305,,,,
p08_k01,0.85,1.0,3,fixed_q_0.3,0.3,10.106776289997072,0.9536704631621751,0.10677628999707167,,,,
